HHID,2015,2016,2017,2018,2019
40113014,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113010,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113017,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113011,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113013,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
1740213002,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113006,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113018,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113005,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113003,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113004,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
1740213001,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
1740213004,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
1840109001,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113012,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113008,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
999999992,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40213001,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40213002,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113016,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113001,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113007,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
1840109002,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113002,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
1740213003,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113015,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
40113009,1217.440947,1192.977921,1237.237969,1207.417485,1271.955722
1840103002,1195.714027,1136.213856,1268.483113,1168.183869,1240.233379
40109015,1195.714027,1136.213856,1268.483113,1168.183869,1240.233379
40109012,1195.714027,1136.213856,1268.483113,1168.183869,1240.233379
1840103003,1152.686161,1092.584985,1234.326046,1127.301271,1196.001581
40109014,1152.686161,1092.584985,1234.326046,1127.301271,1196.001581
40109007,1152.686161,1092.584985,1234.326046,1127.301271,1196.001581
40109004,1152.686161,1092.584985,1234.326046,1127.301271,1196.001581
40109011,1152.686161,1092.584985,1234.326046,1127.301271,1196.001581
40109018,1152.686161,1092.584985,1234.326046,1127.301271,1196.001581
1840103004,1152.686161,1092.584985,1234.326046,1127.301271,1196.001581
1740209001,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109003,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109008,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109010,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109001,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
1840103001,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109006,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109013,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109017,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109002,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109005,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109009,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
40109016,1109.658296,1048.956114,1200.168979,1086.418673,1151.769783
1840135001,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
1740239002,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139002,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139007,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
1740239001,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139014,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139001,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139008,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139021,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139011,1233.298956,1042.812092,1285.988997,1130.243836,1261.929881
40139013,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139018,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139020,1233.298956,1042.812092,1285.988997,1130.243836,1261.929881
40139022,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
1840135002,1233.298956,1042.812092,1285.988997,1130.243836,1261.929881
40139005,1233.298956,1042.812092,1285.988997,1130.243836,1261.929881
40139016,1233.298956,1042.812092,1285.988997,1130.243836,1261.929881
9940139022,1233.298956,1042.812092,1285.988997,1130.243836,1261.929881
40139017,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139012,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139003,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139006,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139009,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
1740239004,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139004,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139010,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139019,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40139015,1245.914742,1026.087258,1260.160604,1126.269211,1283.116825
40137009,1225.480898,1004.293887,1226.432588,1113.688259,1257.750464
40137003,1225.480898,1004.293887,1226.432588,1113.688259,1257.750464
