HHID,latitude,longitude
40113014,-8.809000,31.533300
40113010,-8.809800,31.532700
40113017,-8.810600,31.537701
40113011,-8.810800,31.538401
40113013,-8.811500,31.535500
1740213002,-8.811800,31.536600
40113006,-8.812600,31.534500
40113018,-8.813000,31.535139
40113005,-8.813300,31.533899
40113003,-8.813800,31.533300
40113004,-8.814300,31.533800
1740213001,-8.815300,31.533199
1740213004,-8.818340,31.533300
1840109001,-8.819560,31.530760
40113012,-8.822800,31.526430
40113008,-8.824300,31.527760
999999992,-8.824700,31.526501
40213001,-8.824730,31.526541
40213002,-8.825270,31.526171
40113016,-8.825380,31.527700
40113001,-8.825790,31.527580
40113007,-8.825940,31.526819
1840109002,-8.843310,31.538330
40113002,-8.843400,31.540279
1740213003,-8.843450,31.538891
40113015,-8.844810,31.543440
40113009,-8.845400,31.541401
1840103002,-8.996000,31.681900
40109015,-8.997330,31.679560
40109012,-8.997742,31.678551
1840103003,-8.999180,31.678499
40109014,-8.999800,31.677069
40109007,-8.999920,31.678110
40109004,-8.999940,31.678230
40109011,-9.000400,31.677622
40109018,-9.000940,31.676390
1840103004,-9.001700,31.675240
1740209001,-9.009300,31.666800
40109003,-9.018800,31.663799
40109008,-9.019100,31.665701
40109010,-9.019690,31.658810
40109001,-9.020140,31.659330
1840103001,-9.021100,31.657080
40109006,-9.021310,31.656441
40109013,-9.022800,31.665600
40109017,-9.023900,31.668699
40109002,-9.024500,31.669600
40109005,-9.024900,31.670300
40109009,-9.026000,31.672501
40109016,-9.027300,31.671200
1840135001,-9.356550,31.235670
1740239002,-9.356700,31.235201
40139002,-9.357420,31.234030
40139007,-9.358540,31.234430
1740239001,-9.359700,31.240499
40139014,-9.359750,31.235870
40139001,-9.361430,31.237301
40139008,-9.361810,31.237360
40139021,-9.362180,31.235750
40139011,-9.362900,31.256500
40139013,-9.362900,31.237471
40139018,-9.362960,31.235800
40139020,-9.363400,31.251101
40139022,-9.363400,31.248400
1840135002,-9.363550,31.250591
1740239003,-9.363660,31.249941
40139005,-9.363700,31.254999
40139016,-9.363900,31.251900
9940139022,-9.364008,31.252045
40139017,-9.367820,31.234989
40139012,-9.368450,31.234819
40139003,-9.368790,31.234989
40139006,-9.368810,31.234560
40139009,-9.369090,31.235109
1740239004,-9.380400,31.233400
40139004,-9.382400,31.233000
40139010,-9.383200,31.232700
40139019,-9.384300,31.235001
40139015,-9.385500,31.234400
40137009,-9.541300,31.211399
40137003,-9.541560,31.211599
40137011,-9.541800,31.212601
40137016,-9.542000,31.216101
40137020,-9.542000,31.216700
40137019,-9.552900,31.197540
40137014,-9.553900,31.199100
40137008,-9.554040,31.199789
40137001,-9.554500,31.203489
40137018,-9.555640,31.202749
40137005,-9.555890,31.201660
40137012,-9.556420,31.203011
1840133004,-9.559490,31.197510
1840133001,-9.560660,31.197710
40137002,-9.561500,31.195801
40137007,-9.562200,31.195601
40137021,-9.562200,31.197100
40137017,-9.563300,31.198601
40137013,-9.564300,31.197901
40137004,-9.577380,31.195070
40137010,-9.579820,31.194630
40137006,-9.579900,31.193239
40137022,-9.580420,31.194448
40137015,-9.580760,31.933941
1840133003,-9.581300,31.194349
1840133002,-9.650230,31.197571
40223006,-10.076020,32.319012
1840320001,-10.076100,32.322060
40223018,-10.076150,32.320770
40223017,-10.076160,32.320839
40223013,-10.076910,32.320412
40223001,-10.076960,32.319401
40223011,-10.077430,32.320099
40223019,-10.078700,32.316700
40223014,-10.082100,32.313702
40223007,-10.086900,32.311401
40223002,-10.087800,32.314701
40223009,-10.096490,32.311520
40223015,-10.096500,32.286400
40223016,-10.096900,32.286419
40223020,-10.097200,32.291698
40223003,-10.097860,32.311420
40223012,-10.097860,32.311420
40223005,-10.097900,32.309799
40223008,-10.098100,32.310501
40223021,-10.098200,32.291161
40223010,-10.098250,32.314968
40223004,-10.134950,32.307419
40231019,-10.192670,32.152393
40231013,-10.193190,32.152534
1840324001,-10.304269,32.273087
40231022,-10.306200,32.271801
40231009,-10.307330,32.268620
40231005,-10.307750,32.269760
40231008,-10.309300,32.266102
40231016,-10.309900,32.266499
40231011,-10.312600,32.262798
40231004,-10.313100,32.260799
1740331001,-10.317400,32.256599
1740331002,-10.317800,32.250401
40231015,-10.317840,32.253262
40231020,-10.319120,32.252258
40231012,-10.319230,32.251942
40231002,-10.319800,32.244499
40231021,-10.320200,32.262699
40231007,-10.320440,32.251869
40231003,-10.320500,32.244400
40231017,-10.320500,32.264099
40231006,-10.321300,32.242802
40231010,-10.321360,32.242279
40231018,-10.321530,32.243649
40231001,-10.321550,32.251499
40231014,-10.321570,32.242199
40229021,-10.610000,32.181099
40229009,-10.610290,32.182934
40229008,-10.610300,32.184299
40229015,-10.611000,32.187801
40229012,-10.611100,32.187199
40229016,-10.611200,32.188900
40229007,-10.612200,32.183300
1840321001,-10.612289,32.183224
40229020,-10.634240,32.153900
40229018,-10.634310,32.153622
40229002,-10.634400,32.152599
40229014,-10.634570,32.153450
40229001,-10.634700,32.152199
40229010,-10.634790,32.153049
1740329001,-10.634870,32.152969
40229019,-10.635080,32.152821
40229017,-10.635240,32.153259
40229003,-10.635630,32.153172
40229013,-10.636080,32.153488
40229004,-10.636450,32.152672
40229006,-10.637360,32.153095
40229011,-10.637540,32.153000
40229005,-10.637900,32.151119
40235018,-10.640830,31.948400
1740335003,-10.641500,31.946100
40235013,-10.641520,31.946159
40235001,-10.641540,31.947290
40235008,-10.642480,31.946711
1740335001,-10.643000,31.947901
40235002,-10.643700,31.947001
40235009,-10.645000,31.946400
1740335002,-10.645600,31.946400
40235014,-10.645700,31.943001
40235019,-10.646500,31.941500
40235004,-10.647200,31.940100
40235005,-10.647600,31.939199
40235003,-10.647690,31.938860
40235006,-10.647700,31.939980
40235020,-10.647960,33.937489
1840331001,-10.647990,31.940050
1840331002,-10.648020,31.938700
40229022,-10.648210,33.938000
40235007,-10.648210,33.938000
40235010,-10.648300,31.939199
40235012,-10.648500,31.938601
40235016,-10.648720,33.937431
40235015,-10.648730,31.937870
40235011,-10.648950,31.937071
40235017,-10.649800,31.940300
30103019,-11.582760,33.121521
30103017,-11.583200,33.121498
30103013,-11.583300,33.121601
30103003,-11.948580,33.162819
30103002,-11.951500,33.161201
30103016,-11.951500,33.159801
30103014,-11.951870,33.161049
30103020,-11.952100,33.159100
1730103002,-11.952100,33.160900
30103009,-11.952290,33.160938
30103006,-11.952400,33.161301
1730103001,-11.952400,33.160702
30103018,-11.952420,33.160221
30103011,-11.952540,33.160870
30103012,-11.952700,33.161701
30107002,-11.955900,33.167309
30103001,-11.957070,33.166649
30103005,-11.975280,33.203388
30103004,-11.975300,33.201000
30103008,-11.975700,32.200901
30103021,-11.975900,33.203602
30103007,-11.975970,33.203621
30103010,-11.976990,33.306889
30103015,-11.977500,33.200600
50214003,-12.100700,25.492910
1750214016,-12.101200,25.493401
50214009,-12.101880,25.492941
50214014,-12.102440,25.493900
50214020,-12.102554,25.485857
50214015,-12.103300,25.486799
50214002,-12.103700,25.487801
1750214017,-12.104024,25.487749
50214019,-12.104530,25.494980
1750214015,-12.104833,25.487036
50214007,-12.105200,25.488501
50214008,-12.105980,25.488939
50214001,-12.106970,28.482750
50214011,-12.107860,25.487940
50214017,-12.108880,25.482809
50214013,-12.109030,25.506670
1750214012,-12.109100,25.506001
1750214008,-12.109800,25.505899
50214004,-12.109970,25.506559
50214010,-12.110020,25.506081
50214006,-12.110240,25.507000
50214016,-12.111430,25.501230
50214012,-12.114210,25.505510
1750214018,-12.114570,25.505610
50214005,-12.114860,25.506050
50214018,-12.115760,25.504551
30133007,-12.145950,33.040192
1730133002,-12.146630,33.040401
1830129001,-12.146910,33.041271
30133016,-12.147103,33.040890
30133019,-12.148300,33.034199
30133013,-12.148600,33.032600
30133004,-12.149000,33.033699
30133009,-12.149100,33.034199
1730133001,-12.149100,33.033298
1830129004,-12.153490,33.028641
1830129005,-12.153490,33.028641
30133002,-12.153650,33.028900
30133006,-12.154250,33.028549
30133012,-12.154260,33.028439
1830129003,-12.154610,33.028309
30133010,-12.154680,33.028568
1730133003,-12.155410,33.028622
30133018,-12.156140,33.028191
30133021,-12.161000,33.034698
30133017,-12.167070,33.041592
30133020,-12.167400,33.041592
30133015,-12.168140,33.042881
30133014,-12.168500,33.042801
30133001,-12.169040,33.042549
30133005,-12.169440,33.042290
30133003,-12.170400,33.042999
1830129002,-12.170460,33.042549
30133011,-12.170480,33.042488
30133008,-12.171500,33.043499
50111015,-12.176530,26.442961
50206009,-12.196670,26.774870
